Weekday,Time,Total_RSVPs,Percent_RSVPs,Percent_of_Max_RSVPs
6,20:30:00,2216,0.028000303,0.243142418
6,21:00:00,1713,0.021644639,0.1879526
6,21:30:00,1286,0.016249273,0.141101602
7,10:00:00,3447,0.043554623,0.378209348
7,10:30:00,3884,0.049076344,0.42615756
7,11:00:00,3292,0.041596118,0.361202546
7,11:30:00,3042,0.038437239,0.333772219
7,12:00:00,2364,0.02987036,0.259381172
7,12:30:00,1932,0.024411817,0.211981567
7,13:00:00,2517,0.031803594,0.276168532
7,13:30:00,2424,0.030628491,0.26596445
7,14:00:00,3078,0.038892118,0.337722186
7,14:30:00,3027,0.038247707,0.332126399
7,15:00:00,2527,0.031929949,0.277265745
7,15:30:00,2299,0.029049051,0.252249287
7,16:00:00,2523,0.031879407,0.27682686
7,16:30:00,2315,0.029251219,0.254004828
7,17:00:00,1917,0.024222284,0.210335747
7,17:30:00,1959,0.024752976,0.214944042
7,18:00:00,780,0.009855702,0.08558262
7,18:30:00,928,0.011725759,0.101821374
7,19:00:00,1608,0.02031791,0.176431863
7,19:30:00,2486,0.031411893,0.272767171
7,20:00:00,2672,0.033762099,0.293175335
7,20:30:00,2599,0.032839706,0.285165679
7,21:00:00,2246,0.028379369,0.246434057
7,21:30:00,1917,0.024222284,0.210335747
